warehouse_code,order_date,order_num
BELGGB,2020-03-11 00:00:00,87
BELGGB,2020-04-01 00:00:00,206
BELGGB,2020-04-12 00:00:00,148
BELGGB,2020-06-15 00:00:00,379
BELGGB,2020-07-17 00:00:00,681
BELGGB,2020-09-27 00:00:00,847
BELGGB,2020-10-23 00:00:00,1146
CAMSGA,2020-03-02 00:00:00,308
CAMSGA,2020-03-19 00:00:00,314
CAMSGA,2020-05-19 00:00:00,567
CAMSGA,2020-07-07 00:00:00,417
CAMSGA,2020-08-19 00:00:00,352
CAMSGA,2020-08-29 00:00:00,378
CAMSGA,2020-11-15 00:00:00,677
CARCDA,2020-01-08 00:00:00,1
CARCDA,2020-02-22 00:00:00,2
CARCDA,2020-03-15 00:00:00,4
CAYYZA,2020-05-05 00:00:00,1
CNDGMA,2020-03-04 00:00:00,14
CNDGMA,2020-03-31 00:00:00,8
CNDGMA,2020-05-02 00:00:00,3
CNDGMA,2020-06-20 00:00:00,1
CNDGMA,2020-07-08 00:00:00,1
CNHKGB,2020-01-07 00:00:00,704
CNHKGB,2020-03-06 00:00:00,435
CNHKGB,2020-03-25 00:00:00,313
CNHKGB,2020-05-04 00:00:00,821
CNHKGB,2020-05-09 00:00:00,349
CNHKGB,2020-05-12 00:00:00,1246
CNHKGB,2020-08-16 00:00:00,211
CNHKGB,2020-10-17 00:00:00,305
CNHKGB,2020-11-04 00:00:00,384
CNHKGB,2020-11-06 00:00:00,531
CNHKGB,2020-11-14 00:00:00,1113
CNHKGB,2020-11-19 00:00:00,605
CNHKGB,2020-12-26 00:00:00,450
CZPRGA,2020-03-07 00:00:00,4071
CZPRGA,2020-03-29 00:00:00,5122
CZPRGA,2020-08-31 00:00:00,19140
CZPRGA,2020-10-18 00:00:00,6494
CZPRGA,2020-11-18 00:00:00,12676
CZPRGA,2021-01-16 00:00:00,10460
DEFRAA,2020-01-06 00:00:00,4243
DEFRAA,2020-03-24 00:00:00,3188
DEFRAA,2020-06-26 00:00:00,3164
DEFRAA,2020-08-20 00:00:00,6171
DEFRAB,2020-01-22 00:00:00,3335
DEFRAB,2020-02-06 00:00:00,4021
DEFRAB,2020-04-14 00:00:00,13606
DEFRAB,2020-06-24 00:00:00,10241
DEFRAB,2020-07-03 00:00:00,8961
DEFRAB,2020-09-02 00:00:00,6031
DEFRAB,2020-09-07 00:00:00,13009
DEFRAB,2020-12-02 00:00:00,11125
DEFRAB,2021-01-14 00:00:00,7611
DEFRAC,2020-10-22 00:00:00,3338
DEFRAC,2020-10-25 00:00:00,2190
DEFRAC,2020-11-06 00:00:00,4193
ESMADA,2020-03-31 00:00:00,3141
ESMADA,2020-04-20 00:00:00,2874
ESMADA,2020-04-27 00:00:00,3906
ESMADA,2020-09-13 00:00:00,2243
ESMADA,2020-09-19 00:00:00,2158
ESMADA,2020-11-07 00:00:00,3585
ESMADA,2020-12-18 00:00:00,6397
FRCDGA,2020-11-29 00:00:00,4
FRCDGA,2020-12-11 00:00:00,9
GBLONA,2020-03-13 00:00:00,2907
GBLONA,2020-05-09 00:00:00,2837
GBLONA,2020-06-25 00:00:00,2835
GBLONA,2020-07-15 00:00:00,3463
GBLONA,2020-10-27 00:00:00,5937
GBLONA,2020-11-16 00:00:00,12698
GBLONA,2020-11-20 00:00:00,6579
GBLONA,2020-11-30 00:00:00,12331
GBLTNA,2020-03-28 00:00:00,18905
GBLTNA,2020-04-01 00:00:00,33100
GBLTNA,2020-06-05 00:00:00,26997
GBLTNA,2020-12-02 00:00:00,42549
GBLTNA,2020-12-13 00:00:00,28068
JPOSAA,2020-03-02 00:00:00,809
JPOSAA,2020-04-12 00:00:00,41
JPOSAA,2020-04-27 00:00:00,755
JPOSAA,2020-07-05 00:00:00,72
JPOSAA,2020-08-02 00:00:00,44
JPOSAA,2020-09-20 00:00:00,65
JPOSAA,2020-09-25 00:00:00,548
JPOSAA,2020-10-30 00:00:00,382
JPOSAA,2020-11-08 00:00:00,39
JPOSAA,2020-11-13 00:00:00,390
JPOSAA,2020-11-18 00:00:00,511
PLSLBA,2020-04-28 00:00:00,565
PLSLBA,2020-09-15 00:00:00,781
PLSLBA,2020-10-31 00:00:00,84
PLSLBA,2021-01-01 00:00:00,23
PLSLBB,2020-08-24 00:00:00,2406
PLSLBB,2020-12-24 00:00:00,1445
USLAXA,2020-02-10 00:00:00,9480
USLAXA,2020-02-11 00:00:00,8599
USLAXA,2020-05-13 00:00:00,19589
USLAXA,2020-09-05 00:00:00,4016
USLAXA,2020-10-21 00:00:00,13383
USLAXA,2020-12-12 00:00:00,7938
USLAXA,2020-12-23 00:00:00,8846
USLAXA,2020-12-24 00:00:00,8222
USLAXA,2021-01-01 00:00:00,7940
USNYCA,2020-03-25 00:00:00,7495
USNYCA,2020-03-30 00:00:00,8949
USNYCA,2020-04-11 00:00:00,3776
USNYCA,2020-09-04 00:00:00,10746
USNYCA,2020-11-06 00:00:00,8101
USNYCA,2020-11-11 00:00:00,12662
USNYCA,2020-11-21 00:00:00,5684
AUMELA,2020-03-15 00:00:00,17
AUMELA,2020-04-17 00:00:00,14
AUMELA,2020-05-10 00:00:00,23
AUMELA,2020-06-25 00:00:00,79
AUMELA,2020-07-02 00:00:00,115
AUMELA,2020-07-10 00:00:00,174
AUMELA,2020-07-17 00:00:00,186
AUMELA,2020-09-07 00:00:00,8
AUMELA,2020-11-12 00:00:00,31
AUMELA,2020-11-16 00:00:00,7
AUMELA,2020-12-05 00:00:00,1
AUMELB,2020-11-24 00:00:00,256
AUSYDA,2020-01-09 00:00:00,1837
AUSYDA,2020-01-22 00:00:00,1772
AUSYDA,2020-02-17 00:00:00,3231
AUSYDA,2020-04-05 00:00:00,1711
AUSYDA,2020-04-23 00:00:00,2291
AUSYDA,2020-06-19 00:00:00,2137
AUSYDA,2020-07-09 00:00:00,2319
AUSYDA,2020-07-12 00:00:00,1299
AUSYDA,2020-08-24 00:00:00,4908
AUSYDA,2020-10-24 00:00:00,1767
AUSYDA,2021-01-09 00:00:00,1644
BELGGA,2020-01-13 00:00:00,195
BELGGA,2020-01-19 00:00:00,55
BELGGA,2020-01-28 00:00:00,135
BELGGA,2020-02-10 00:00:00,263
BELGGA,2020-03-19 00:00:00,41
BELGGA,2020-04-05 00:00:00,35
BELGGA,2020-06-19 00:00:00,92
BELGGA,2020-07-05 00:00:00,17
BELGGA,2020-07-24 00:00:00,93
BELGGA,2020-09-14 00:00:00,181
BELGGA,2020-09-15 00:00:00,126
BELGGA,2020-09-27 00:00:00,56
BELGGA,2020-10-01 00:00:00,29
BELGGA,2020-11-16 00:00:00,120
BELGGA,2021-01-10 00:00:00,10
BELGGB,2020-03-01 00:00:00,21
BELGGB,2020-04-09 00:00:00,1420
BELGGB,2020-05-19 00:00:00,200
BELGGB,2020-06-16 00:00:00,406
BELGGB,2020-07-27 00:00:00,1236
BELGGB,2020-10-20 00:00:00,1256
BELGGB,2020-11-03 00:00:00,1428
BELGGB,2020-11-08 00:00:00,1074
BELGGB,2021-01-13 00:00:00,2896
CAMSGA,2020-02-02 00:00:00,183
CAMSGA,2020-03-15 00:00:00,137
CAMSGA,2020-05-05 00:00:00,489
CAMSGA,2020-06-18 00:00:00,454
CAMSGA,2020-08-25 00:00:00,480
CAMSGA,2020-09-06 00:00:00,403
CAMSGA,2020-09-14 00:00:00,664
CAMSGA,2020-11-29 00:00:00,1630
CAMSGA,2021-01-18 00:00:00,1118
CAYYZA,2020-02-01 00:00:00,1
CNDGMA,2020-02-22 00:00:00,31
CNDGMA,2020-03-29 00:00:00,13
CNDGMA,2020-05-26 00:00:00,3
CNHKGB,2020-01-16 00:00:00,2033
CNHKGB,2020-01-17 00:00:00,1519
CNHKGB,2020-01-20 00:00:00,1640
CNHKGB,2020-03-09 00:00:00,809
CNHKGB,2020-03-16 00:00:00,532
CNHKGB,2020-03-20 00:00:00,384
CNHKGB,2020-05-01 00:00:00,1446
CNHKGB,2020-05-11 00:00:00,750
CNHKGB,2020-09-13 00:00:00,157
CNHKGB,2020-11-05 00:00:00,273
CNHKGB,2021-01-18 00:00:00,1563
CZPRGA,2020-04-15 00:00:00,13069
CZPRGA,2020-08-19 00:00:00,9384
CZPRGA,2020-08-25 00:00:00,10650
CZPRGA,2020-09-12 00:00:00,4770
CZPRGA,2020-09-30 00:00:00,10073
